token_1,ws,token_2,count
public,1_SP,synchronized,1005
synchronized,1_SP,void,845
",",2_NL,IDENTIFIER,165
IDENTIFIER,2_NL_4_SP,},4
{,1_NL_4_SP,AT,3999
",",1_NL_14_SP,IDENTIFIER,16
{,1_NL_10_SP,this,3
{,2_NL_4_SP,boolean,98
;,2_NL_16_SP,boolean,3
",",1_NL_17_SP,IDENTIFIER,29
;,2_NL_17_SP,boolean,1
public,1_SP,<,1642
abstract,1_SP,IDENTIFIER,1285
",",1_NL_37_SP,IDENTIFIER,86
;,2_NL_41_SP,},1
",",1_NL_42_SP,IDENTIFIER,41
{,1_NL_38_SP,IDENTIFIER,55
;,1_NL_39_SP,IDENTIFIER,10
",",1_NL_46_SP,IDENTIFIER,41
;,1_NL_46_SP,boolean,5
;,1_NL_53_SP,if,5
;,2_NL_19_SP,return,5
{,1_NL_37_SP,IDENTIFIER,53
;,1_NL_24_SP,IDENTIFIER,59
;,2_NL_24_SP,if,6
;,1_NL_28_SP,},45
",",1_NL_46_SP,boolean,6
{,1_NL_42_SP,IDENTIFIER,26
;,1_NL_52_SP,return,5
{,1_NL_40_SP,IDENTIFIER,19
),0_None,IDENTIFIER,1984
],0_None,>,1036
},2_NL,EOF,537
{,1_NL_37_SP,this,5
IDENTIFIER,1_NL_8_SP,extends,72
>,1_NL,implements,21
{,1_NL_4_SP,void,409
;,1_NL,void,122
protected,1_SP,abstract,625
",",1_NL_8_SP,NULL_LITERAL,48
